Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Raúl Sandoval,Necaxa,Liga MX,2024/2025,460,Left Wing Back,Mexico,17/01/00,0,0,0.16,0.27,0.59,0,33,1,,0.18,0,0.05,1.17,0,0.04,0.98,0,0.01,0.2,0,0.21,1.76,-0.21,1.56,0.59,0.98,38,0.98,0,1.96,2.35,0.78,0.74,1.76,1.21,18.77,7.82,0.03,6.26,40.95,4.3,6.84,1.56,2.35,67,1.92,2.67,0.78,33,0.78,67,0.78,0,16.42,16.87,4.11,3.13,0.39,48.6,7.23,44,2.54,81,0,0,0,20.14,70,1.76,79,75,2.35,1.76,20,67,-3,61.57,1.17,0.73,0.76,22.09,81,5.54,6.45,1.56,1.37,0.2,0,2.35,3.71,0,63,0.98,29,0.2,17,59,24,9,58,33,18.21,18.21,0.95,99,0,17.3,17.99,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,13,5.1,32,0.02,0.1,0.04,0.05,,0.22
Ricardo Chávez,Monterrey,Liga MX,2024/2025,1426,Right Back,Mexico,18/11/94,0.13,0.13,0.1,0.11,0.95,13,33,1,,0.13,0.06,0.09,1.2,0.06,0.09,1.2,0,0,0,0.19,0.19,2.15,0,0.44,0.25,0.19,57,0.69,0,0.69,1.2,1.2,1.39,2.52,3.19,21.27,10.79,0.02,4.92,39.83,3.35,8.21,2.71,3.91,80,3.24,4.63,2.08,50,0.69,63,2.08,0,16.54,20.24,3.41,3.72,0.44,43.91,7.2,44,3.03,81,0.32,0,0,46.71,78,3.03,14,54,3.09,5.05,12,60,-18,54.84,5.93,0.56,0.64,36.67,96,3.87,14.33,1.64,1.51,0.13,0.25,2.4,3.91,0.13,46,1.01,37,0.32,27,64,9,22,67,12,19.34,18.82,0.94,106,-0.52,18.14,19.86,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,14,6.29,37,0.16,0.06,0.04,0.01,,0.27
Ricardo Chávez,Atlético San Luis,Liga MX,2024/2025,1783,Right Wing Back,Mexico,18/11/94,0.1,0.1,0.08,0.09,0.91,11,28,1,,0.04,0.1,0.04,0.56,0.1,0.04,0.56,0,0,0,0.2,0.12,1.46,0.08,1.21,0.61,0.61,50,0.86,0,0.91,1.46,1.41,1.34,2.27,2.16,14.18,7.97,0.03,3.08,34.58,2.73,6.31,1.67,3.08,66,1.5,2.84,1.56,60,0.86,61,1.26,0.05,10.95,10.37,1.92,1.82,0.15,40.56,3.84,35,1.06,58,0.15,0,0,38.61,80,3.53,15,65,2.67,5.05,10,71,-9,53.51,3.58,0.31,0.38,33.36,93,3.99,10.6,1.46,1.36,0.1,0.2,2.27,3.63,0.05,52,1.16,42,0.25,21,65,13,13,71,16,19.97,17.14,0.97,105,-2.83,19.28,17.96,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,15,4.07,32,0.11,0.07,0.03,-0.03,,0.17
Ricardo Gutiérrez,Mazatlán,Liga MX,2024/2025,51,Goalkeeper,Mexico,16/06/97,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.75,0,0,7.01,10.58,0,0,0,0,,0,0,0,,0,,0,0,3.5,1.33,0,0,0,44.6,1.75,50,0,,0,0,0,21.02,75,5.25,55,43,1.75,10.51,6,0,-75,14.28,0,0,0,19.27,100,7.94,0,0,0,0,0,0,0,0,,0,,0,44,56,0,,,,35.53,70.33,0.73,,34.8,25.85,,0,5.06,5.06,100,42,58,2.08,8.76,50,17.52,2.36,0,0,,-1,6,0,,,0.05,0.03,,,4.41,4.5
Ricardo Marín,Puebla,Liga MX,2024/2025,1163,Centre Forward,Mexico,17/03/98,0.31,0.31,0.28,0.15,1.86,17,54,5,0,0.25,0,0.05,0.54,0,0.05,0.54,0,0,0,0.31,0.33,2.4,-0.02,1.39,0.62,0.77,44,0.77,0,1.39,2.86,0.23,0.1,0.77,0.45,29.18,14.01,0.01,3.95,62.13,2.32,3.64,0.93,1.16,55,0.56,0.66,1.78,10,0.77,31,2.09,0,26.47,15.76,3.25,4.02,0.39,64.31,19.43,73,3.79,94,0,0,0,13.47,60,0.15,80,22,1.08,0.39,36,53,-7,60.67,1.24,0.2,0.43,12.92,75,4.33,3.79,0.23,0.23,0,0.46,4.64,4.88,0.08,67,0.23,33,0.54,19,59,22,20,59,20,14.87,15.34,0.91,85,0.47,13.55,12.97,0,0,0,0,0,,0,0,,0,0,0,0,0,0,32,9,2.56,20,-0.02,0.04,0.02,0.02,,0.06
Ricardo Marín,Guadalajara,Liga MX,2024/2025,768,Centre Forward,Mexico,17/03/98,0.35,0.35,0.28,0.1,2.81,13,38,8,,0.36,0.12,0.05,0.82,0.12,0.05,0.82,0,0,0,0.47,0.33,3.63,0.14,1.05,0.35,0.7,33,1.29,0,1.52,3.63,0.12,0.18,0.23,0.35,27.77,14.88,0,3.75,65.54,2.93,3.87,1.52,1.64,81,1.9,2.08,2.23,40,0.35,41,2.23,0,24.02,27.5,3.63,5.51,0.59,66.42,19.92,83,5.04,91,0.12,0,0,10.55,67,0.35,70,60,0.47,0.35,38,45,-22,61.36,0.82,0.31,0.5,13.12,66,3.35,3.75,0.47,0.47,0,0.47,6.91,7.38,0.12,0,0,0,0.59,13,63,23,16,75,9,14.64,14.14,0.98,80,-0.5,14.39,11.31,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,10,2.77,15,-0.01,-0.05,0.02,-0.1,,-0.15
Ricardo Monreal,Necaxa,Liga MX,2024/2025,1492,Left Wing,Mexico,09/02/01,0.12,0.12,0.13,0.07,1.87,6,32,3,,0.16,0.06,0.12,1.21,0.06,0.12,1.21,0,0,0,0.18,0.24,3.08,-0.06,3.44,0.97,2.47,28,2.05,0,2.53,4.83,0.72,0.43,0.66,0.29,23.53,8.99,0.01,4.65,53.24,3.86,6.64,1.39,2.11,59,0.82,1.24,2.29,30,0.97,28,0.66,0,19.85,14.45,3.98,3.02,0.48,55.61,12.01,60,2.59,86,0.18,0,0,21,72,0.42,9,30,1.09,0.97,30,66,-5,61.31,1.81,0.38,0.5,26.97,75,4.68,7,0.3,0.3,0,0.54,4.22,4.53,0,0,0.36,67,0.84,15,67,17,8,70,22,14.66,12.99,0.96,96,-1.67,14.04,12.44,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,11,4.89,29,-0.03,0.02,0.04,-0.01,,0.01
Richard Sánchez,América,Liga MX,2024/2025,1100,Right Defensive Midfielder,Paraguay,28/03/96,0.16,0.16,0.04,0.03,1.23,13,27,1,,0.05,0.16,0.09,1.23,0.16,0.05,0.74,0,0.03,0.49,0.33,0.12,2.45,0.2,0.74,0.16,0.57,22,0.82,0,0.41,1.55,0.41,0.5,1.14,1.2,18.81,9.81,0.02,3.6,41.71,3.52,7.61,2.04,2.45,81,2.82,3.32,0.33,73,0.49,50,0.25,0.16,16.44,19.08,2.78,2.29,0.16,44.03,6.38,39,1.31,57,0,0,0.08,57.9,89,4.42,6,68,1.55,6.13,14,82,-7,51.26,7.2,0.45,0.48,49.89,97,4.84,13.9,1.47,0.74,0.74,0.08,0.65,1.39,0.25,17,0.49,55,0.08,17,74,9,18,79,4,18.99,16.07,0.96,97,-2.92,18.19,15.55,0,0,0,0,0,,0,0,,0,0,0,0,0,0,12,7,5.93,45,0.02,0.05,0.06,-0.02,,0.1
Robert Ergas,Pumas UNAM,Liga MX,2024/2025,2907,Left Wing Back,Uruguay,14/01/98,0.03,0.03,0.03,0.04,0.74,4,33,1,,0.03,0.12,0.13,0.93,0.12,0.12,0.8,0,0.01,0.12,0.15,0.16,1.67,0,2.2,1.02,1.18,46,1.49,0,1.18,2.85,1.11,0.85,1.49,1.22,21.64,13.5,0.01,4.49,37.49,2.26,5.51,2.66,3.78,69,2.15,3,0.96,51,1.18,44,0.56,0,18.11,15.46,3.22,3.03,0.28,39.88,5.6,31,2.29,76,0.19,0,0,31.76,75,1.45,92,36,1.73,3.78,13,78,3,55.08,2.85,0.39,0.42,32.32,88,4.51,8.67,0.77,0.62,0.15,0.19,1.52,2.14,0.03,48,0.74,25,0.28,18,69,14,14,63,23,18.54,16.06,0.88,99,-2.48,16.39,15.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,9,4.97,35,0.09,0.05,0.04,-0.01,,0.17
Robert Osmar Morales Benítez,Toluca,Liga MX,2024/2025,902,Right Centre Forward,Paraguay,16/03/99,0.3,0.3,0.3,0.11,2.79,11,50,6,,0.37,0.1,0.17,1.7,0.1,0.17,1.7,0,0,0,0.4,0.47,4.49,-0.07,1.5,0.7,0.8,47,1.9,0.1,3.39,3.89,0,0,0.4,0.32,32.22,15.46,0.01,4.29,63.77,3.19,4.79,1.9,1.9,79,1.83,1.83,2.29,38,0.5,33,1.8,0,28.13,25.86,3.79,5.29,0.2,64.58,21.84,78,4.69,89,0,0,0,16.26,78,0.6,11,86,0.6,0.5,47,78,-1,62.14,2.39,0.39,0.7,20.75,70,6.31,6.58,0.6,0.6,0,0.7,5.89,6.48,0,17,0.4,67,1,12,71,17,14,68,18,14.53,12.26,1.03,111,-2.27,15.03,13.66,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,16,4,23,0.05,0.11,0.01,0,,0.18
Roberto Alvarado,Guadalajara,Liga MX,2024/2025,2689,Right Wing,Mexico,06/09/98,0.3,0.2,0.13,0.11,1.17,17,31,1,75,0.2,0.2,0.19,2.21,0.2,0.13,1.54,0,0.06,0.67,0.4,0.32,3.38,0.09,3.48,1.97,1.51,57,1.61,0,2.54,3.41,0.33,0.37,0.57,0.63,14.93,7.7,0.01,3.25,51.11,3.95,6.89,1.24,1.57,65,1.29,1.66,1.2,44,0.67,38,0.6,0.03,12.65,13.26,2.44,2.81,0.37,52.96,7.09,56,1.97,70,0.17,0,0,38.12,77,3.08,84,54,1.24,5.05,21,77,1,60.86,6.12,0.46,0.56,39.89,86,6.57,13.69,2.14,0.97,1.17,0.27,2.95,3.92,0.17,20,0.57,31,0.67,12,75,13,14,74,12,19.82,16.87,0.93,100,-2.96,18.44,16.89,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,9,6.77,50,0.05,0.09,0,0.1,,0.24
Roberto Meraz,Mazatlán,Liga MX,2024/2025,2036,Left Defensive Midfielder,Mexico,03/08/99,0,0,0.04,0.05,0.8,0,33,1,,0.02,0.04,0.04,0.57,0.04,0.04,0.57,0,0,0,0.04,0.08,1.37,-0.04,0.22,0.18,0.04,80,0.57,0,0.22,0.44,0.84,0.94,1.77,1.63,18.12,9.41,0.05,4.29,41.49,4.24,9.41,1.68,2.52,70,1.75,2.69,1.19,44,0.71,57,1.41,0,15.25,14.63,3.14,2.87,0.18,45.51,6.23,41,1.86,65,0.35,0,0,40.26,86,4.07,8,75,1.9,5.26,11,72,-14,47.66,5.17,0.33,0.35,30.36,98,4.12,8.09,0.09,0.09,0,0.18,1.06,1.15,0,0,0.04,20,0.18,22,72,6,28,69,3,21.51,16.26,0.98,104,-5.25,21.17,16.98,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,7,4.53,31,0.08,0.05,0.02,-0.03,,0.11
Roberto de la Rosa,Monterrey,Liga MX,2024/2025,1267,Left Centre Forward,Mexico,03/01/00,0.14,0.14,0.22,0.08,2.84,5,28,6,,0.21,0.21,0.16,1.21,0.21,0.16,1.21,0,0,0,0.36,0.38,4.05,-0.03,1.07,0.5,0.57,47,0.99,0,1.21,2.27,0,0,0.36,0.37,15.28,5.61,0.01,2.13,65.2,2.56,4.33,0.28,0.28,44,0.2,0.2,0.64,0,0.36,38,0.99,0,14.42,16.89,1.99,3.06,0.28,67.27,11.37,79,2.98,98,0.07,0,0,21.17,76,1.49,11,75,0.85,1.49,26,60,-16,60.46,2.63,0.48,0.69,21.46,86,5.69,7.32,0.85,0.85,0,0.43,5.54,6.4,0.21,25,0.43,46,0.57,10,71,19,11,68,21,17.04,15.95,1.04,115,-1.09,17.77,18.37,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,10,4.37,27,0.02,0.03,0.01,-0.1,,-0.03
Rodolfo Cota,América,Liga MX,2024/2025,564,Goalkeeper,Mexico,02/07/87,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.16,0,0,0,0,0,0,0,0.32,0,0,6.22,4.34,0,4.47,0,0,,0,0,0,100,0,,0,0,0.32,0.09,0.16,0,0,14.08,0,0,0,,0,0,0,26.17,85,4.63,29,51,3.19,5.9,15,60,-25,10.57,0.16,0.3,0.3,21.54,100,4.21,0,0,0,0,0,0,0,0,,0,,0,34,66,0,,,,28.4,39.21,0.83,78,10.8,23.71,30.75,0.64,0.72,0.09,78,75,3,0.81,2.87,35,8.3,2.45,0,0,18.28,-2,9,4,1.16,7,0.06,0.06,,,0,0.13
Rodolfo Pizarro,Mazatlán,Liga MX,2024/2025,1750,Left Wing,Mexico,14/02/94,0,0,0.03,0.05,0.62,0,25,1,,0.04,0,0.08,0.98,0,0.08,0.98,0,0,0,0,0.11,1.59,-0.11,2.21,1.03,1.18,47,2.21,0,3.29,3.39,0.31,0.23,0.36,0.23,20.94,8.02,0.01,3.6,51.73,2.88,5.45,1.54,1.85,60,1.17,1.4,2.16,38,1.03,32,0.72,0,17.28,12.48,2.83,3.7,0.36,52.75,9.05,52,2.83,76,0.1,0,0,31.43,79,0.87,13,52,0.93,1.13,32,77,-2,60.79,4.17,0.25,0.3,35.8,84,6.15,11.99,1.08,1.03,0.05,0.36,2.57,3.6,0,19,0.46,39,0.62,18,65,17,22,61,17,16.01,14.72,1,106,-1.28,15.97,15.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,10,3.34,33,0.01,0.02,0.01,-0.02,,0.01
Rodrigo Aguirre,América,Liga MX,2024/2025,1574,Right Centre Forward,Uruguay,30/09/94,0.63,0.57,0.46,0.14,3.37,17,44,7,50,0.45,0.06,0.03,0.46,0.06,0.03,0.46,0,0,0,0.63,0.5,3.83,0.13,1.83,0.63,1.2,34,1.32,0.06,2.06,4.63,0.11,0.2,0.97,0.91,23.79,9.66,0.03,3.89,55.28,2.06,4.35,1.72,1.83,68,1.94,2.13,2.52,38,0.8,49,2.69,0,19.62,19.34,3.09,3.6,0.34,58.12,12.58,64,2.75,76,0.51,0.06,0,14.64,66,0.34,82,35,1.2,0.74,32,62,-5,60.73,2,0.48,0.73,16.93,67,6.21,5.2,0.46,0.4,0.06,0.29,6.98,7.38,0.06,0,0.06,7,0.46,17,65,18,18,65,18,17.09,16.47,0.96,102,-0.62,16.37,16.88,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,10,3.49,24,-0.05,0.05,0.05,0.06,,0.11
Rodrigo Bogarín,Querétaro,Liga MX,2024/2025,798,Right Defensive Midfielder,Paraguay,23/05/97,0.11,0.11,0.04,0.05,0.79,14,29,1,,0.01,0,0.03,0.68,0,0.03,0.56,0,0.01,0.11,0.11,0.08,1.47,0.04,1.69,0.68,1.01,40,0.79,0,0.56,1.47,1.13,0.64,1.58,0.71,26.16,13.87,0.07,3.61,39.59,1.92,5.41,1.24,2.37,58,0.65,1.28,1.35,27,0.9,45,0.56,0,23.56,12.73,2.59,3.04,0.23,42.92,7.55,32,1.24,41,0.23,0.11,0,26.83,77,1.92,12,46,2.37,3.38,25,66,-11,51.01,3.27,0.27,0.31,23.68,91,4.54,5.98,0.23,0.11,0.11,0,0.56,0.68,0,50,0.11,33,0,23,65,11,26,64,9,21.44,19.9,0.87,82,-1.53,18.58,16.29,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,9,2.85,23,0.02,0.01,0.03,-0.04,,0.02
Rodrigo Dourado,Atlético San Luis,Liga MX,2024/2025,3720,Right Defensive Midfielder,Brazil,16/06/94,0.1,0.1,0.05,0.08,0.56,17,39,0,,0.07,0,0.03,0.48,0,0.03,0.48,0,0,0,0.1,0.07,1.04,0.03,0.8,0.46,0.34,58,1.09,0,0.48,0.92,1.65,1.81,1.94,1.96,22.28,13.62,0.04,6.02,38.13,3.77,9.61,2.32,3.97,64,2.52,4.33,1.98,44,1.33,60,1.48,0,18.07,19.87,4.02,3.41,0.34,41.52,6.27,35,1.77,52,0.22,0,0,41.4,88,3.8,8,79,2.73,4.04,18,79,-10,45.37,3.94,0.28,0.33,32.9,96,5.01,6.12,0.31,0.27,0.05,0.17,1.57,1.84,0.02,8,0.1,33,0.24,18,76,6,22,75,3,19.38,17.58,0.98,97,-1.81,19.04,17.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,10,3.71,29,0.04,0.06,0.04,0,,0.14
Rodrigo Echeverría,León,Liga MX,2024/2025,1637,Left Defensive Midfielder,Chile,16/04/95,0.16,0.16,0.06,0.11,0.55,30,30,0,,0.09,0,0.02,0.49,0,0.02,0.49,0,0,0,0.16,0.08,1.04,0.08,0.55,0.27,0.27,50,0.93,0,0.44,0.99,0.71,0.66,1.59,1.43,21.5,10.67,0.04,5.11,37.13,3.02,8.47,2.14,2.86,70,1.81,2.47,1.21,50,0.93,74,1.43,0,18.14,15.27,3.46,2.75,0.22,39.05,4.95,27,1.54,56,0.38,0,0,39.09,86,4.56,15,72,2.03,5.94,15,80,-6,43.94,2.42,0.42,0.44,32.71,97,4.59,4.67,0.22,0.22,0,0.05,1.26,1.48,0.05,0,0,0,0.05,18,74,7,25,71,5,21.7,17.85,0.96,99,-3.85,20.92,17.73,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,3.9,32,0.03,0.04,0.01,0.02,,0.09
Rodrigo Huescas,Cruz Azul,Liga MX,2024/2025,101,Right Back,Mexico,17/09/03,0,0,0.04,0.02,1.78,0,50,3,,0.02,0,0,0,0,0,0,0,0,0,0,0.04,1.78,-0.04,0,0,0,,0,0,0.89,0.89,0,0,0,0,13.33,8,0,4.44,54.29,3.55,7.11,2.67,2.67,100,4.35,4.35,0,100,0,,0,0,10.66,17.39,3.55,1.78,0,52.54,6.22,58,0.89,50,0,0,0,34.66,89,0,21,0,0,0.89,9,100,11,54.9,7.11,0.86,0.89,31.1,94,4.94,15.11,0,0,0,0,1.78,1.78,0,,0,0,0,13,64,22,24,47,29,15.97,16.59,0.92,100,0.62,14.66,16.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,9,5.69,33,-0.02,0,0.02,-0.08,,-0.08
Rodrigo López Quiñones,Pumas UNAM,Liga MX,2024/2025,1230,Right Centre Midfielder,Mexico,11/11/01,0.15,0.15,0.08,0.05,1.61,9,41,1,,0.11,0.15,0.13,1.76,0,0.02,0.73,0.15,0.11,1.02,0.29,0.21,3.37,0.08,2.12,1.17,0.95,55,1.24,0,2.27,3.07,0.59,0.54,0.73,0.71,16.46,7.97,0.01,3.29,49.93,3.8,6.58,1.24,1.83,85,1.52,2.06,0.95,63,0.22,26,0.59,0,14.34,13.3,3.07,3.51,0.73,52.39,8.49,59,3,85,0.07,0,0,35.7,72,4.1,17,45,1.98,7.83,18,66,-6,62.4,4.68,0.28,0.32,37.97,87,5.33,12.58,3.07,1.46,1.61,0.22,2.12,3.58,0.22,33,1.1,24,0.15,13,70,17,12,66,22,22.84,21.14,0.86,97,-1.69,19.65,20.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,7,6.39,41,0.12,0.07,0.01,0.03,,0.22
Rogelio Cortéz Pineda,Necaxa,Liga MX,2024/2025,242,Right Defensive Midfielder,Mexico,06/07/04,0.37,0.37,0.4,0.16,2.6,14,29,3,,0.4,0,0.11,2.23,0,0.07,1.86,0,0.04,0.37,0.37,0.52,4.84,-0.15,1.86,1.49,0.37,80,0.74,0,1.12,0.74,0.74,0.22,0,0,18.6,11.53,0,4.09,46.09,4.46,9.67,1.49,2.23,57,0.96,1.19,0.37,25,1.12,0,0,0,16.74,8.46,3.72,1.12,0,46.81,7.81,47,0.74,67,0,0,0,37.94,78,2.98,11,50,0.37,5.58,18,100,22,55.18,4.84,0.46,0.82,34.22,96,5.58,11.16,0.74,0.37,0.37,0.37,3.35,3.72,0,0,0,0,0.37,25,67,8,23,77,0,19.25,12.46,0.87,100,-6.79,16.75,12.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,8,6.32,30,0.03,0.14,0.05,0.03,,0.25
Rogelio Funes Mori,Pumas UNAM,Liga MX,2024/2025,1511,Centre Forward,Mexico,04/03/91,0.06,0.06,0.27,0.15,1.85,3,19,4,,0.11,0.12,0.07,0.95,0.12,0.07,0.95,0,0,0,0.18,0.34,2.8,-0.17,0.71,0.3,0.42,42,0.66,0.06,1.73,3.04,0.24,0.22,0.48,0.37,17.51,8.34,0.01,2.14,67.36,1.55,2.38,0.42,0.66,78,0.29,0.51,1.67,33,0.12,39,1.97,0,15.43,13.91,1.97,1.61,0.12,69.57,12.81,83,1.49,93,0.36,0,0,17.87,77,1.01,16,65,1.07,0.95,40,73,-4,61.4,1.73,0.3,0.54,17.69,78,4.07,6.85,0.12,0.12,0,0.42,4.77,4.88,0,50,0.06,20,0.54,8,71,21,7,74,19,16.74,15.57,0.98,93,-1.17,16.41,14.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,13,3.12,21,-0.06,-0.05,0.01,-0.04,,-0.14
Román Torres Acosta,Atlético San Luis,Liga MX,2024/2025,1165,Right Wing Back,Mexico,21/12/04,0.08,0.08,0.04,0.07,0.54,14,43,1,,0.09,0.15,0.06,0.69,0.15,0.06,0.69,0,0,0,0.23,0.1,1.24,0.13,1.16,0.69,0.46,60,0.69,0,0.54,1.85,0.31,0.31,1.62,1.62,14.9,6.33,0.03,4.02,35.85,2.47,6.18,1.31,1.62,81,1.48,1.79,0.69,60,0.31,47,0.69,0,12.9,14.5,2.55,2.55,0.23,39.58,4.32,34,1.39,55,0.08,0,0,40.93,75,3.63,9,55,2.32,5.95,12,53,-23,52.44,4.4,0.32,0.38,37.37,94,4.28,11.12,1,0.62,0.39,0.15,1.78,2.39,0,46,0.69,30,0.23,26,61,13,22,58,19,20.22,17.26,0.92,112,-2.95,18.66,19.36,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,11,3.98,33,0.07,0.06,0.01,0,,0.14
Román Torres Acosta,Necaxa,Liga MX,2024/2025,11,,Mexico,21/12/04,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,50,25,0,0,30.37,0,0,8.33,8.33,100,6.82,6.82,8.33,,0,,0,0,33.33,27.28,0,8.33,0,30.37,0,0,0,0,0,0,0,0,60,8.33,,100,0,8.33,0,,,69.19,8.33,0,0,0,,,0,0,0,0,0,0,0,0,,0,,0,60,40,0,,,,23.31,,1,,,23.28,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,60,40,,,0.28,,-0.07,,,0.22
Ronaldo Bladimir Rubio Pérez,Santos Laguna,Liga MX,2024/2025,24,Centre Attacking Midfielder,Mexico,27/01/04,0,0,0.3,0.04,7.41,0,0,13,,0,0,0,0,0,0,0,0,0,0,0,0.3,7.41,-0.3,3.71,3.71,0,100,0,0,0,0,0,0,0,0,29.65,18.53,0,0,75.57,0,0,3.71,3.71,100,4.28,4.28,0,,0,,0,0,25.94,29.98,0,7.41,0,74.91,18.53,71,7.41,100,0,0,0,18.53,60,0,0,,0,0,20,0,-60,56.98,3.71,0.25,0.33,25.94,100,3.84,3.71,0,0,0,0,18.53,18.53,0,,0,,0,40,60,0,100,0,0,6.66,4.24,1.18,,-2.42,7.87,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,60,40,8.89,31,-0.07,0.01,-0.02,-0.49,,-0.58
Ronaldo Cisneros,Querétaro,Liga MX,2024/2025,854,Centre Forward,Mexico,07/01/97,0.21,0.21,0.23,0.11,2.11,10,30,6,,0.15,0,0.02,0.42,0,0.02,0.42,0,0,0,0.21,0.25,2.53,-0.04,0.53,0.32,0.21,60,1.26,0,1.05,2.53,0.42,0.34,0.95,0.35,20.44,9.8,0.01,2.53,59.55,1.9,3.58,0.53,0.95,71,0.48,0.82,0.53,33,0.21,35,1.79,0,19.38,10.26,2.21,3.48,0.21,62.03,13.38,69,3.48,100,0,0,0,12.11,75,0.53,24,83,0.95,0.63,37,70,-5,57.68,0.42,0.26,0.42,12.85,79,4.95,3.27,0.11,0.11,0,0.42,5.27,5.37,0,0,0,0,0.74,10,59,32,0,52,48,14.85,11.71,1.05,96,-3.14,15.61,11.3,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,8,1.81,14,-0.08,0.02,0.01,0.02,,-0.04
Ronaldo Prieto,Santos Laguna,Liga MX,2024/2025,235,Left Back,Mexico,02/03/97,0,0,0.06,0.07,0.77,0,0,0,,0,0,0.06,0.38,0,0,0,0,0.06,0.38,0,0.11,1.15,-0.11,0,0,0,,1.53,0,0,0.38,1.15,0.89,2.3,1.62,16.07,9.19,0.07,3.83,23.8,0.77,4.59,3.44,4.59,75,1.18,2.07,1.15,63,1.15,63,1.91,0,11.48,6.04,2.68,1.15,0.38,25.19,1.53,13,0.38,33,0.38,0,0,27.56,70,3.44,74,36,2.3,9.57,7,71,1,40.99,3.44,0.19,0.19,21.05,98,4.61,3.44,0.38,0,0.38,0.38,1.91,1.91,0,100,0.38,33,0.38,35,63,2,44,56,0,26.43,12.9,0.8,130,-13.53,21.13,16.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,7,2.79,27,0.13,0.02,0.01,-0.04,,0.13
